settlement_name,wikipedia_title,wikipedia_page_id,photo_url,photo_thumb_url,photo_width,photo_height,photo_source,photo_attribution,wikipedia_article_url,fetch_status,fetch_note
Arló,Arló,12085,https://upload.wikimedia.org/wikipedia/commons/3/3f/Arl%C3%B3%2C_r%C3%B3mai_katolikus_templom_2021_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Arl%C3%B3%2C_r%C3%B3mai_katolikus_templom_2021_01.jpg/960px-Arl%C3%B3%2C_r%C3%B3mai_katolikus_templom_2021_01.jpg,800,1200,wikipedia,Wikipédia – Arló,https://hu.wikipedia.org/wiki/Arl%C3%B3,ok,
Baskó,Baskó,12297,https://upload.wikimedia.org/wikipedia/commons/5/5f/Bask%C3%B3%2C_templom.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Bask%C3%B3%2C_templom.JPG/960px-Bask%C3%B3%2C_templom.JPG,800,1067,wikipedia,Wikipédia – Baskó,https://hu.wikipedia.org/wiki/Bask%C3%B3,ok,
Szentdomonkos,Szentdomonkos,43714,https://upload.wikimedia.org/wikipedia/commons/f/f7/Szentdomonkos_church.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Szentdomonkos_church.jpg/960px-Szentdomonkos_church.jpg,800,600,wikipedia,Wikipédia – Szentdomonkos,https://hu.wikipedia.org/wiki/Szentdomonkos,ok,
Telkibánya,Telkibánya,44077,https://upload.wikimedia.org/wikipedia/commons/7/7c/Telkibanya_Reform%C3%A1tus_templom.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Telkibanya_Reform%C3%A1tus_templom.jpg,712,1072,wikipedia,Wikipédia – Telkibánya,https://hu.wikipedia.org/wiki/Telkib%C3%A1nya,ok,
Pilisszentkereszt,Pilisszentkereszt,18803,https://upload.wikimedia.org/wikipedia/commons/f/f9/Pilisszentkereszt%2C_r%C3%B3mai_katolikus_templom_2025_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Pilisszentkereszt%2C_r%C3%B3mai_katolikus_templom_2025_02.jpg/960px-Pilisszentkereszt%2C_r%C3%B3mai_katolikus_templom_2025_02.jpg,800,1200,wikipedia,Wikipédia – Pilisszentkereszt,https://hu.wikipedia.org/wiki/Pilisszentkereszt,ok,
Jósvafő,Jósvafő,17914,https://upload.wikimedia.org/wikipedia/commons/3/3c/J%C3%B3svaf%C5%91i_reform%C3%A1tus_templom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/J%C3%B3svaf%C5%91i_reform%C3%A1tus_templom.jpg/960px-J%C3%B3svaf%C5%91i_reform%C3%A1tus_templom.jpg,800,600,wikipedia,Wikipédia – Jósvafő,https://hu.wikipedia.org/wiki/J%C3%B3svaf%C5%91,ok,
Erdőhorváti,Erdőhorváti,13458,https://upload.wikimedia.org/wikipedia/commons/7/79/Erd%C5%91horv%C3%A1ti_Tokaj_Hegyalja_Zempl%C3%A9n.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Erd%C5%91horv%C3%A1ti_Tokaj_Hegyalja_Zempl%C3%A9n.jpg/960px-Erd%C5%91horv%C3%A1ti_Tokaj_Hegyalja_Zempl%C3%A9n.jpg,800,450,wikipedia,Wikipédia – Erdőhorváti,https://hu.wikipedia.org/wiki/Erd%C5%91horv%C3%A1ti,ok,
Uppony,Uppony,44057,https://upload.wikimedia.org/wikipedia/commons/b/b4/Uppony_-_Borsodb%C3%B3ta_%2819171879666%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Uppony_-_Borsodb%C3%B3ta_%2819171879666%29.jpg/960px-Uppony_-_Borsodb%C3%B3ta_%2819171879666%29.jpg,800,450,wikipedia,Wikipédia – Uppony,https://hu.wikipedia.org/wiki/Uppony,ok,
Füzér,Füzér,715590,,,,,wikipedia,Wikipédia – Füzér,https://hu.wikipedia.org/wiki/F%C3%BCz%C3%A9r,no_image,Nincs kép a Wikipedia oldalon
Szilvásvárad,Szilvásvárad,42656,https://upload.wikimedia.org/wikipedia/commons/2/23/Erd%C5%91dy-Pallavicini_kast%C3%A9ly_%285856._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29_5.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Erd%C5%91dy-Pallavicini_kast%C3%A9ly_%285856._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29_5.jpg/960px-Erd%C5%91dy-Pallavicini_kast%C3%A9ly_%285856._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29_5.jpg,800,600,wikipedia,Wikipédia – Szilvásvárad,https://hu.wikipedia.org/wiki/Szilv%C3%A1sv%C3%A1rad,ok,
Váraszó,Váraszó,43717,https://upload.wikimedia.org/wikipedia/commons/b/bf/V%C3%A1rasz%C3%B3%2C_%C3%81rp%C3%A1d-kori_templom_-_l%C3%A9gi_fot%C3%B3.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/V%C3%A1rasz%C3%B3%2C_%C3%81rp%C3%A1d-kori_templom_-_l%C3%A9gi_fot%C3%B3.jpg,675,900,wikipedia,Wikipédia – Váraszó,https://hu.wikipedia.org/wiki/V%C3%A1rasz%C3%B3,ok,
Parádsasvár,Parádsasvár,43699,https://upload.wikimedia.org/wikipedia/commons/4/46/K%C3%A1rolyi-kast%C3%A9ly_%28Kast%C3%A9lyhotel_Sasv%C3%A1r%29_%285819._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/K%C3%A1rolyi-kast%C3%A9ly_%28Kast%C3%A9lyhotel_Sasv%C3%A1r%29_%285819._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29.jpg/960px-K%C3%A1rolyi-kast%C3%A9ly_%28Kast%C3%A9lyhotel_Sasv%C3%A1r%29_%285819._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29.jpg,800,600,wikipedia,Wikipédia – Parádsasvár,https://hu.wikipedia.org/wiki/Par%C3%A1dsasv%C3%A1r,ok,
Kemence,Kemence,632727,,,,,wikipedia,Wikipédia – Kemence,https://hu.wikipedia.org/wiki/Kemence,no_image,Nincs kép a Wikipedia oldalon
Tarnalelesz,Tarnalelesz,43715,https://upload.wikimedia.org/wikipedia/commons/2/2b/Tarnalelesz.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Tarnalelesz.jpg/960px-Tarnalelesz.jpg,800,600,wikipedia,Wikipédia – Tarnalelesz,https://hu.wikipedia.org/wiki/Tarnalelesz,ok,
Komlóska,Komlóska,18219,https://upload.wikimedia.org/wikipedia/commons/7/7a/Koml%C3%B3skai_ruszin_t%C3%A1jh%C3%A1z.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Koml%C3%B3skai_ruszin_t%C3%A1jh%C3%A1z.jpg/960px-Koml%C3%B3skai_ruszin_t%C3%A1jh%C3%A1z.jpg,800,600,wikipedia,Wikipédia – Komlóska,https://hu.wikipedia.org/wiki/Koml%C3%B3ska,ok,
Bükkzsérc,Bükkzsérc,12761,https://upload.wikimedia.org/wikipedia/commons/f/f4/B%C3%BCkkzs%C3%A9rc1.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/B%C3%BCkkzs%C3%A9rc1.JPG/960px-B%C3%BCkkzs%C3%A9rc1.JPG,800,600,wikipedia,Wikipédia – Bükkzsérc,https://hu.wikipedia.org/wiki/B%C3%BCkkzs%C3%A9rc,ok,
Szinpetri,Szinpetri,44023,https://upload.wikimedia.org/wikipedia/commons/8/8a/BAZ1.Szinpetri.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/BAZ1.Szinpetri.jpg/960px-BAZ1.Szinpetri.jpg,800,535,wikipedia,Wikipédia – Szinpetri,https://hu.wikipedia.org/wiki/Szinpetri,ok,
Sima,Sima,44009,https://upload.wikimedia.org/wikipedia/commons/6/63/Borsod-Abauj.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,800,566,wikipedia,Wikipédia – Sima,https://hu.wikipedia.org/wiki/Sima,ok,
Hollóháza,Hollóháza,17862,https://upload.wikimedia.org/wikipedia/commons/9/93/CivertanlegifotoHoll%C3%B3h%C3%A1za1.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/CivertanlegifotoHoll%C3%B3h%C3%A1za1.jpg,400,600,wikipedia,Wikipédia – Hollóháza,https://hu.wikipedia.org/wiki/Holl%C3%B3h%C3%A1za,ok,
Mogyoróska,Mogyoróska,18609,https://upload.wikimedia.org/wikipedia/commons/b/b6/Mogyor%C3%B3skai_g%C3%B6r%C3%B6g_katolikus_templom.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Mogyor%C3%B3skai_g%C3%B6r%C3%B6g_katolikus_templom.JPG/960px-Mogyor%C3%B3skai_g%C3%B6r%C3%B6g_katolikus_templom.JPG,800,600,wikipedia,Wikipédia – Mogyoróska,https://hu.wikipedia.org/wiki/Mogyor%C3%B3ska,ok,
Bélapátfalva,Bélapátfalva,29564,https://upload.wikimedia.org/wikipedia/commons/7/7c/Belapatfalva%2C_Apatsagi_templom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Belapatfalva%2C_Apatsagi_templom.jpg/960px-Belapatfalva%2C_Apatsagi_templom.jpg,800,512,wikipedia,Wikipédia – Bélapátfalva,https://hu.wikipedia.org/wiki/B%C3%A9lap%C3%A1tfalva,ok,
Szin,Szin,44022,https://upload.wikimedia.org/wikipedia/commons/7/7c/Szin%2C_Reform%C3%A1tus_Templom%2C_2017-03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Szin%2C_Reform%C3%A1tus_Templom%2C_2017-03.jpg/960px-Szin%2C_Reform%C3%A1tus_Templom%2C_2017-03.jpg,800,1192,wikipedia,Wikipédia – Szin,https://hu.wikipedia.org/wiki/Szin,ok,
Szögliget,Szögliget,44078,https://upload.wikimedia.org/wikipedia/commons/6/63/Borsod-Abauj.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Borsod-Abauj.svg/960px-Borsod-Abauj.svg.png,800,566,wikipedia,Wikipédia – Szögliget,https://hu.wikipedia.org/wiki/Sz%C3%B6gliget,ok,
Salgótarján,Salgótarján,16781,https://upload.wikimedia.org/wikipedia/commons/f/f6/Salg%C3%B3tarj%C3%A1n_belv%C3%A1ros.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Salg%C3%B3tarj%C3%A1n_belv%C3%A1ros.jpg/960px-Salg%C3%B3tarj%C3%A1n_belv%C3%A1ros.jpg,800,526,wikipedia,Wikipédia – Salgótarján,https://hu.wikipedia.org/wiki/Salg%C3%B3tarj%C3%A1n,ok,
Bekölce,Bekölce,29437,https://upload.wikimedia.org/wikipedia/commons/5/50/Bek%C3%B6lce_templom_1.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Bek%C3%B6lce_templom_1.JPG/960px-Bek%C3%B6lce_templom_1.JPG,800,600,wikipedia,Wikipédia – Bekölce,https://hu.wikipedia.org/wiki/Bek%C3%B6lce,ok,
Mályinka,Mályinka,18418,https://upload.wikimedia.org/wikipedia/commons/a/a8/Reform%C3%A1tus_templom_%282888._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Reform%C3%A1tus_templom_%282888._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29_3.jpg/960px-Reform%C3%A1tus_templom_%282888._sz%C3%A1m%C3%BA_m%C5%B1eml%C3%A9k%29_3.jpg,800,600,wikipedia,Wikipédia – Mályinka,https://hu.wikipedia.org/wiki/M%C3%A1lyinka,ok,
Borsodbóta,Borsodbóta,12590,https://upload.wikimedia.org/wikipedia/commons/f/ff/Borsodb%C3%B3ta_r%C3%B3mai_katolikus_templom.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Borsodb%C3%B3ta_r%C3%B3mai_katolikus_templom.JPG/960px-Borsodb%C3%B3ta_r%C3%B3mai_katolikus_templom.JPG,800,600,wikipedia,Wikipédia – Borsodbóta,https://hu.wikipedia.org/wiki/Borsodb%C3%B3ta,ok,
Szúcs,Szúcs,42657,https://upload.wikimedia.org/wikipedia/commons/4/42/Sz%C3%BAcs%2C_l%C3%A1tk%C3%A9p_az_egercsehi_%C3%BAtr%C3%B3l_2024_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Sz%C3%BAcs%2C_l%C3%A1tk%C3%A9p_az_egercsehi_%C3%BAtr%C3%B3l_2024_01.jpg/960px-Sz%C3%BAcs%2C_l%C3%A1tk%C3%A9p_az_egercsehi_%C3%BAtr%C3%B3l_2024_01.jpg,800,533,wikipedia,Wikipédia – Szúcs,https://hu.wikipedia.org/wiki/Sz%C3%BAcs,ok,
Karancsalja,Karancsalja,44717,https://upload.wikimedia.org/wikipedia/commons/9/90/Karancsalja%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Karancsalja%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg/960px-Karancsalja%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,800,1200,wikipedia,Wikipédia – Karancsalja,https://hu.wikipedia.org/wiki/Karancsalja,ok,
Regéc,Regéc,30368,https://upload.wikimedia.org/wikipedia/commons/5/57/Reg%C3%A9c_v%C3%A1ra_-_l%C3%A9gi_fot%C3%B3.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Reg%C3%A9c_v%C3%A1ra_-_l%C3%A9gi_fot%C3%B3.jpg,900,600,wikipedia,Wikipédia – Regéc,https://hu.wikipedia.org/wiki/Reg%C3%A9c,ok,
Felsőtárkány,Felsőtárkány,42617,https://upload.wikimedia.org/wikipedia/commons/3/3d/Fels%C5%91t%C3%A1rk%C3%A1ny%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Fels%C5%91t%C3%A1rk%C3%A1ny%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg/960px-Fels%C5%91t%C3%A1rk%C3%A1ny%2C_r%C3%B3mai_katolikus_templom_2024_01.jpg,800,1200,wikipedia,Wikipédia – Felsőtárkány,https://hu.wikipedia.org/wiki/Fels%C5%91t%C3%A1rk%C3%A1ny,ok,
Kovácsvágás,Kovácsvágás,18228,https://upload.wikimedia.org/wikipedia/commons/c/c7/J%C3%A1nos_v%C3%A1ra-kil%C3%A1t%C3%B3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/J%C3%A1nos_v%C3%A1ra-kil%C3%A1t%C3%B3.jpg/960px-J%C3%A1nos_v%C3%A1ra-kil%C3%A1t%C3%B3.jpg,800,1067,wikipedia,Wikipédia – Kovácsvágás,https://hu.wikipedia.org/wiki/Kov%C3%A1csv%C3%A1g%C3%A1s,ok,
Bánhorváti,Bánhorváti,12292,https://upload.wikimedia.org/wikipedia/commons/2/2d/B%C3%A1nhorv%C3%A1ti_r%C3%B3mai_katolikus_templom.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2d/B%C3%A1nhorv%C3%A1ti_r%C3%B3mai_katolikus_templom.JPG,672,896,wikipedia,Wikipédia – Bánhorváti,https://hu.wikipedia.org/wiki/B%C3%A1nhorv%C3%A1ti,ok,
Garáb,Garáb,1648582,,,,,wikipedia,Wikipédia – Garáb,https://hu.wikipedia.org/wiki/Gar%C3%A1b,no_image,Nincs kép a Wikipedia oldalon
